Company,Event Type,Event Date,Event  Description,CompanyTitle
Apple Inc.,Earnings Report,28/10/2021,Q4 2021 Earnings Report,Apple
,Product Launch,18/10/2021,MacBook Pro M1 Pro/Max Launch,Apple
,Apple's Market Capitalization Reaches $3 Trillion,03/01/2022,Apple became the first company to reach a $3 trillion market capitalization,Apple
,Earnings Report,27/01/2022,Q1 2022 Earnings Report,Apple
,Launch of iPhone SE (3rd Generation) and The Apple Studio Display,08/03/2022,"Peek Performance"" event.",Apple
,Earnings Report,28/04/2022,Q2 2022 Earnings Report,Apple
,Conference,06/06/2022,Start of WWDC 2022 showcasing iOS 16 and software updates,Apple
,Conference,10/06/2022,Last day of WWDC 2022,Apple
,Earnings Report,28/07/2022,Q3 2022 Earnings Report,Apple
,iPhone 14 Launch - Announcement,07/09/2021,"Announcement of iPhone 14 features, specs, and pricing",Apple
,iPhone 14 Launch - Release,16/09/2022,"Release date for iPhone 14, available for purchase",Apple
Tesla Inc.,Earnings Report,20/10/2021,Q3 2021 Earnings Report,Tesla
,Product Update,26/01/2022,Production timeline update for Tesla s highly anticipated Cybertruck,Tesla
,Opening of Giga Berlin,22/03/2022,Tesla officially opened its Gigafactory in Berlin,Tesla
,Product Update,02/07/2022,Further production updates impacting sentiment for Tesla,Tesla
,Opening of Giga Texas,07/04/2022,Tesla inaugurated its Gigafactory in Texas,Tesla
,Earnings Report,19/04/2022,Q1 2022 Earnings Report,Tesla
,Stock Split Announcement,10/06/2022,Tesla announced a 3-for-1 stock split proposal,Tesla
,Earnings Report,20/07/2022,Q2 2022 Earnings Report,Tesla
,Stock Split Approval,04/08/2022,Tesla shareholders approved the 3-for-1 stock split.,Tesla
,Stock Split Effective Date,25/08/2022,Tesla's 3-for-1 stock split took effect,Tesla
Microsoft Corp.,Earnings Report,26/10/2021,Q1 2022 Earnings Report,Microsoft
,Product Launch,05/10/2021,Windows 11 Release,Microsoft
,Acquisition,18/01/2022,Activision Blizzard Acquisition Announced,Microsoft
,Earnings Report,25/01/2022,Q2 2022 Earnings Report,Microsoft
,Completion of Nuance Communications Acquisition,04/03/2022,Microsoft completed the acquisition of Nuance Communications,Microsoft
,Earnings Report,26/04/2022,Q3 2022 Earnings Report,Microsoft
,Earnings Report,26/07/2022,Q4 2022 Earnings Report,Microsoft
"Amazon.com, Inc.",Earnings Report,28/10/2021,Q3 2021 Earnings Report,Amazon
,Sales Event,27/11/2021,Black Friday/Cyber Monday Sales,Amazon
,Earnings Report,03/02/2022,Q4 2021 Earnings Report,Amazon
,Completion of MGM Acquisition,17/03/2022,"Amazon finalized the acquisition of MGM Studios, expanding its content library for Prime Video",Amazon
